locus_id,token,locus_name,locus_type,scale,tags,sector_id,ssmp_zone_id,place_id,sward_ids,notes,hazard_level,building,floor,zone_type,congestion_prone,function,description,hazard_grade,risk_flags,sward_count,avg_dwell_minutes,median_dwell_minutes,max_dwell_minutes,std_dwell_minutes,total_visits,avg_daily_visitors,total_unique_users,avg_visits_per_person,visit_frequency_rank,peak_hour,temporal_pattern,avg_concurrent_occupancy,max_concurrent_occupancy,dwell_category
L-Y1-001,timeclock,본진 타각기 입구,GATE,POINT,#gate #anchor #checkpoint #hazard_2,SEC-00022,ZN-00142,PLC-Y1-001,"SWD-000149, SWD-000227, SWD-000233, SWD-000240, SWD-000256",,high,,,checkpoint_timeclock,True,ACCESS,Y-Project 본진 구역의 주 출입구. 전체 현장 인원 출입 통제 기준점이며 Journey 앵커 포인트다.,2.0,,7,10.3,2.0,720.0,33.2,1011043,5651.0,10245.0,98.69,2.0,5.0,night_shift,364.6,823.0,TRANSIT
L-Y1-002,timeclock,본진 타각기 출구,GATE,POINT,#gate #anchor #checkpoint #hazard_2,SEC-00022,ZN-00143,PLC-Y1-001,"SWD-000132, SWD-000133, SWD-000148, SWD-000232, SWD-000255",,high,,,checkpoint_timeclock,True,ACCESS,Y-Project 본진 구역의 주 출입구. 전체 현장 인원 출입 통제 기준점이며 Journey 앵커 포인트다.,2.0,,5,3.5,1.0,692.0,11.4,257327,4142.9,9727.0,26.45,14.0,19.0,night_shift,32.3,385.0,TRANSIT
L-Y1-003,main_gate,GATE #1,GATE,POINT,#gate #hazard_2,SEC-00022,ZN-00070,PLC-Y1-002,"SWD-000121, SWD-000127, SWD-000145",,high,,,checkpoint_gate,True,ACCESS,Y-Project 외곽 공사현장 출입 게이트. 차량 및 자재 출입 통제 지점. 복수 게이트 포함.,2.0,,3,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,TRANSIT
L-Y1-004,sub_gate,GATE #2 서측 공동구,GATE,POINT,#gate #hazard_2,SEC-00022,ZN-00164,PLC-Y1-002,SWD-000212,,high,,,checkpoint_gate,True,ACCESS,Y-Project 외곽 공사현장 출입 게이트. 차량 및 자재 출입 통제 지점. 복수 게이트 포함.,2.0,,1,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,TRANSIT
L-Y1-005,main_gate,GATE #4,GATE,POINT,#gate #hazard_2,SEC-00022,ZN-00074,PLC-Y1-002,"SWD-000139, SWD-000143",,high,,,checkpoint_gate,True,ACCESS,Y-Project 외곽 공사현장 출입 게이트. 차량 및 자재 출입 통제 지점. 복수 게이트 포함.,2.0,,2,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,TRANSIT
L-Y1-006,timeclock,지원 타각기 입구,GATE,POINT,#gate #anchor #checkpoint #hazard_2,SEC-00022,,PLC-Y1-003,,,low,전진,,,,ACCESS,전진 지원 구역 출입구. 협력사 및 지원 인력 주 출입 경로.,2.0,,0,22.7,2.0,720.0,80.1,45396,1500.9,5538.0,8.2,26.0,5.0,commute_peak,72.2,139.0,TRANSIT
L-Y1-007,timeclock,지원 타각기 출구,GATE,POINT,#gate #anchor #checkpoint #hazard_2,SEC-00022,,PLC-Y1-003,,,low,전진,,,,ACCESS,전진 지원 구역 출입구. 협력사 및 지원 인력 주 출입 경로.,2.0,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,TRANSIT
L-Y1-020,work_zone,FAB 1F 작업구역,WORK,BLOCK,#work #productive #hazard_3 #crowded,SEC-00022,ZN-00091,PLC-Y1-010,"SWD-000185, SWD-000186, SWD-000187, SWD-000188, SWD-000189, SWD-000191, SWD-000192, SWD-000193, SWD-000194, SWD-000195, SWD-000235",,high,,,work_area,False,WORK,Y-Project FAB(Fabrication) 건물 작업현장. 1F~4F 전체 작업구역. 반도체 설비 설치·시공 구역으로 핵심 생산 활동 공간.,3.0,crowded,11,15.2,4.0,720.0,36.9,767519,3949.3,8212.0,93.46,3.0,7.0,commute_peak,420.2,1273.0,LONG_STAY
L-Y1-021,work_zone,FAB 2F 작업구역,WORK,BLOCK,#work #productive #hazard_3,SEC-00022,,PLC-Y1-010,,,medium,FAB,2F,,,WORK,Y-Project FAB(Fabrication) 건물 작업현장. 1F~4F 전체 작업구역. 반도체 설비 설치·시공 구역으로 핵심 생산 활동 공간.,3.0,,0,8.8,2.0,719.0,25.9,305792,3458.0,9162.0,33.38,11.0,7.0,commute_peak,99.4,410.0,LONG_STAY
L-Y1-022,work_zone,FAB 3F 작업구역,WORK,BLOCK,#work #productive #hazard_3,SEC-00022,,PLC-Y1-010,,,medium,FAB,3F,,,WORK,Y-Project FAB(Fabrication) 건물 작업현장. 1F~4F 전체 작업구역. 반도체 설비 설치·시공 구역으로 핵심 생산 활동 공간.,3.0,,0,7.6,2.0,713.0,21.0,388822,3446.6,9032.0,43.05,7.0,7.0,commute_peak,105.8,461.0,LONG_STAY
